Date,亞歐基金_Price
2017/02/05,141.69
2017/02/06,141.19
2017/02/07,141.08
2017/02/08,141.54
2017/02/09,142.0
2017/02/10,142.37
2017/02/11,142.37
2017/02/12,142.37
2017/02/13,142.89
2017/02/14,142.78
2017/02/15,143.54
2017/02/16,143.97
2017/02/17,143.61
2017/02/18,143.61
2017/02/19,143.61
2017/02/20,143.73
2017/02/21,143.93
2017/02/22,144.08
2017/02/23,144.31
2017/02/24,143.43
2017/02/25,143.43
2017/02/26,143.43
2017/02/27,143.44
2017/02/28,143.04
2017/03/01,144.25
2017/03/02,143.37
2017/03/03,143.94
2017/03/04,143.94
2017/03/05,143.94
2017/03/06,143.58
2017/03/07,143.32
2017/03/08,142.98
2017/03/09,143.17
2017/03/10,144.17
2017/03/11,144.17
2017/03/12,144.17
2017/03/13,145.08
2017/03/14,144.23
2017/03/15,145.86
2017/03/16,146.9
2017/03/17,147.28
2017/03/18,147.28
2017/03/19,147.28
2017/03/20,147.23
2017/03/21,146.81
2017/03/22,146.54
2017/03/23,146.81
2017/03/24,147.24
2017/03/25,147.24
2017/03/26,147.24
2017/03/27,147.31
2017/03/28,148.05
2017/03/29,148.05
2017/03/30,147.61
2017/03/31,147.24
2017/04/01,147.24
2017/04/02,147.24
2017/04/03,147.16
2017/04/04,147.16
2017/04/05,146.65
2017/04/06,146.55
2017/04/07,146.48
2017/04/08,146.48
2017/04/09,146.48
2017/04/10,146.34
2017/04/11,146.72
2017/04/12,146.87
2017/04/13,146.07
2017/04/14,146.07
2017/04/15,146.07
2017/04/16,146.07
2017/04/17,146.07
2017/04/18,145.79
2017/04/19,145.32
2017/04/20,146.49
2017/04/21,146.51
2017/04/22,146.51
2017/04/23,146.51
2017/04/24,149.65
2017/04/25,150.95
2017/04/26,150.7
2017/04/27,150.98
2017/04/28,150.78
2017/04/29,150.78
2017/04/30,150.78
2017/05/01,150.78
2017/05/02,151.88
2017/05/03,151.88
2017/05/04,152.93
2017/05/05,154.01
2017/05/06,154.01
2017/05/07,154.01
2017/05/08,153.22
2017/05/09,153.27
2017/05/10,153.59
2017/05/11,153.5
2017/05/12,154.29
2017/05/13,154.29
2017/05/14,154.29
2017/05/15,155.13
2017/05/16,155.92
2017/05/17,154.52
2017/05/18,154.44
2017/05/19,155.9
2017/05/20,155.9
2017/05/21,155.9
2017/05/22,156.34
2017/05/23,156.39
2017/05/24,156.44
2017/05/25,156.69
2017/05/26,156.41
2017/05/27,156.41
2017/05/28,156.41
2017/05/29,156.56
2017/05/30,156.56
2017/05/31,156.48
2017/06/01,157.34
2017/06/02,159.02
2017/06/03,159.02
2017/06/04,159.02
2017/06/05,158.26
2017/06/06,158.04
2017/06/07,158.08
2017/06/08,157.99
2017/06/09,157.51
2017/06/10,157.51
2017/06/11,157.51
2017/06/12,156.76
2017/06/13,157.84
2017/06/14,157.76
2017/06/15,156.11
2017/06/16,157.22
2017/06/17,157.22
2017/06/18,157.22
2017/06/19,158.06
2017/06/20,156.35
2017/06/21,156.03
2017/06/22,156.11
2017/06/23,156.46
2017/06/24,156.46
2017/06/25,156.46
2017/06/26,156.8
2017/06/27,156.72
2017/06/28,157.77
2017/06/29,156.74
2017/06/30,156.7
2017/07/01,156.7
2017/07/02,156.7
2017/07/03,156.58
2017/07/04,156.27
2017/07/05,156.36
2017/07/06,155.89
2017/07/07,155.75
2017/07/08,155.75
2017/07/09,155.75
2017/07/10,156.26
2017/07/11,157.02
2017/07/12,158.16
2017/07/13,158.86
2017/07/14,159.77
2017/07/15,159.77
2017/07/16,159.77
2017/07/17,159.56
2017/07/18,159.67
2017/07/19,160.46
2017/07/20,161.04
2017/07/21,160.6
2017/07/22,160.6
2017/07/23,160.6
2017/07/24,160.4
2017/07/25,160.52
2017/07/26,161.46
2017/07/27,161.39
2017/07/28,161.37
2017/07/29,161.37
2017/07/30,161.37
2017/07/31,161.9
2017/08/01,163.0
2017/08/02,163.19
2017/08/03,163.27
2017/08/04,163.44
2017/08/05,163.44
2017/08/06,163.44
2017/08/07,163.66
2017/08/08,163.22
2017/08/09,162.81
2017/08/10,160.6
2017/08/11,159.79
2017/08/12,159.79
2017/08/13,159.79
2017/08/14,161.05
2017/08/15,160.89
2017/08/16,161.93
2017/08/17,160.44
2017/08/18,160.43
2017/08/19,160.43
2017/08/20,160.43
2017/08/21,160.57
2017/08/22,161.49
2017/08/23,161.49
2017/08/24,161.27
2017/08/25,162.42
2017/08/26,162.42
2017/08/27,162.42
2017/08/28,162.52
2017/08/29,161.78
2017/08/30,162.04
2017/08/31,162.89
2017/09/01,163.07
2017/09/02,163.07
2017/09/03,163.07
2017/09/04,162.87
2017/09/05,162.0
2017/09/06,162.6
2017/09/07,163.51
2017/09/08,163.56
2017/09/09,163.56
2017/09/10,163.56
2017/09/11,165.02
2017/09/12,165.4
2017/09/13,164.54
2017/09/14,164.71
2017/09/15,164.84
2017/09/16,164.84
2017/09/17,164.84
2017/09/18,165.4
2017/09/19,165.77
2017/09/20,165.62
2017/09/21,165.31
2017/09/22,165.44
2017/09/23,165.44
2017/09/24,165.44
2017/09/25,164.39
2017/09/26,164.17
2017/09/27,164.31
2017/09/28,164.29
2017/09/29,165.18
2017/09/30,165.18
2017/10/01,165.18
2017/10/02,165.18
2017/10/03,166.29
2017/10/04,166.23
2017/10/05,166.23
2017/10/06,166.14
2017/10/07,166.14
2017/10/08,166.14
2017/10/09,166.02
2017/10/10,167.44
2017/10/11,167.57
2017/10/12,167.68
2017/10/13,168.36
2017/10/14,168.36
2017/10/15,168.36
2017/10/16,168.52
2017/10/17,168.22
2017/10/18,168.6
2017/10/19,167.69
2017/10/20,167.89
2017/10/21,167.89
2017/10/22,167.89
2017/10/23,167.35
2017/10/24,167.47
2017/10/25,167.05
2017/10/26,166.88
2017/10/27,167.43
2017/10/28,167.43
2017/10/29,167.43
2017/10/30,167.62
2017/10/31,168.1
2017/11/01,168.6
2017/11/02,168.83
2017/11/03,168.81
2017/11/04,168.81
2017/11/05,168.81
2017/11/06,168.99
2017/11/07,168.93
2017/11/08,169.31
2017/11/09,168.66
2017/11/10,168.39
2017/11/11,168.39
2017/11/12,168.39
2017/11/13,167.9
2017/11/14,167.8
2017/11/15,166.86
2017/11/16,168.07
2017/11/17,167.8
2017/11/18,167.8
2017/11/19,167.8
2017/11/20,168.08
2017/11/21,169.78
2017/11/22,170.5
2017/11/23,170.05
2017/11/24,171.27
2017/11/25,171.27
2017/11/26,171.27
2017/11/27,170.2
2017/11/28,170.9
2017/11/29,170.4
2017/11/30,170.08
2017/12/01,169.4
2017/12/02,169.4
2017/12/03,169.4
2017/12/04,169.03
2017/12/05,168.42
2017/12/06,167.34
2017/12/07,167.76
2017/12/08,168.83
2017/12/09,168.83
2017/12/10,168.83
2017/12/11,169.51
2017/12/12,169.5
2017/12/13,170.53
2017/12/14,169.69
2017/12/15,169.35
2017/12/16,169.35
2017/12/17,169.35
2017/12/18,171.21
2017/12/19,170.53
2017/12/20,170.4
2017/12/21,171.03
2017/12/22,171.46
2017/12/23,171.46
2017/12/24,171.46
2017/12/25,171.46
2017/12/26,171.46
2017/12/27,171.7
2017/12/28,172.12
2017/12/29,172.2
2017/12/30,172.2
2017/12/31,172.2
2018/01/01,172.2
2018/01/02,173.92
2018/01/03,174.65
2018/01/04,176.4
2018/01/05,177.25
2018/01/06,177.25
2018/01/07,177.25
2018/01/08,177.35
2018/01/09,177.69
2018/01/10,177.51
2018/01/11,178.45
2018/01/12,180.15
2018/01/13,180.15
2018/01/14,180.15
2018/01/15,180.2
2018/01/16,180.67
2018/01/17,181.39
2018/01/18,181.42
2018/01/19,182.31
2018/01/20,182.31
2018/01/21,182.31
2018/01/22,183.16
2018/01/23,184.34
2018/01/24,184.67
2018/01/25,183.77
2018/01/26,185.62
2018/01/27,185.62
2018/01/28,185.62
2018/01/29,184.04
2018/01/30,182.46
2018/01/31,182.58
2018/02/01,182.7
2018/02/02,179.71
2018/02/03,179.71
2018/02/04,179.71
2018/02/05,173.34
2018/02/06,174.09
2018/02/07,172.16
2018/02/08,168.79
2018/02/09,168.21
2018/02/10,168.21
2018/02/11,168.21
2018/02/12,170.23
2018/02/13,170.4
2018/02/14,173.48
2018/02/15,174.99
2018/02/16,174.99
2018/02/17,174.99
2018/02/18,174.99
2018/02/19,174.99
2018/02/20,174.06
2018/02/21,174.15
2018/02/22,174.3
2018/02/23,175.71
2018/02/24,175.71
2018/02/25,175.71
2018/02/26,177.37
2018/02/27,175.04
2018/02/28,173.25
2018/03/01,171.16
2018/03/02,171.34
2018/03/03,171.34
2018/03/04,171.34
2018/03/05,171.24
2018/03/06,172.78
2018/03/07,172.4
2018/03/08,173.27
2018/03/09,174.59
2018/03/10,174.59
2018/03/11,174.59
2018/03/12,175.39
2018/03/13,174.54
2018/03/14,174.75
2018/03/15,174.75
2018/03/16,174.61
2018/03/17,174.61
2018/03/18,174.61
2018/03/19,173.55
2018/03/20,173.6
2018/03/21,173.59
2018/03/22,170.71
2018/03/23,168.24
2018/03/24,168.24
2018/03/25,168.24
2018/03/26,171.01
2018/03/27,170.24
2018/03/28,170.11
2018/03/29,171.4
2018/03/30,171.4
2018/03/31,171.4
2018/04/01,171.4
2018/04/02,171.4
2018/04/03,170.57
2018/04/04,170.06
2018/04/05,170.06
2018/04/06,170.48
2018/04/07,170.48
2018/04/08,170.48
2018/04/09,172.18
2018/04/10,174.16
2018/04/11,173.88
2018/04/12,174.34
2018/04/13,174.41
2018/04/14,174.41
2018/04/15,174.41
2018/04/16,173.95
2018/04/17,174.26
2018/04/18,175.34
2018/04/19,175.34
2018/04/20,174.29
2018/04/21,174.29
2018/04/22,174.29
2018/04/23,173.87
2018/04/24,173.83
2018/04/25,173.27
2018/04/26,173.57
2018/04/27,173.97
2018/04/28,173.97
2018/04/29,173.97
2018/04/30,174.3
2018/05/01,174.3
2018/05/02,173.53
2018/05/03,173.47
2018/05/04,173.53
2018/05/05,173.53
2018/05/06,173.53
2018/05/07,173.66
2018/05/08,174.21
2018/05/09,174.67
2018/05/10,175.85
2018/05/11,176.58
2018/05/12,176.58
2018/05/13,176.58
2018/05/14,177.36
2018/05/15,175.99
2018/05/16,176.06
2018/05/17,176.14
2018/05/18,175.76
2018/05/19,175.76
2018/05/20,175.76
2018/05/21,176.92
2018/05/22,176.92
2018/05/23,174.48
2018/05/24,174.14
2018/05/25,173.17
2018/05/26,173.17
2018/05/27,173.17
2018/05/28,173.3
2018/05/29,170.21
2018/05/30,171.61
2018/05/31,171.45
2018/06/01,172.56
2018/06/02,172.56
2018/06/03,172.56
2018/06/04,173.52
2018/06/05,173.43
2018/06/06,174.88
2018/06/07,174.37
2018/06/08,173.81
2018/06/09,173.81
2018/06/10,173.81
2018/06/11,174.92
2018/06/12,174.11
2018/06/13,173.85
2018/06/14,173.24
2018/06/15,172.32
2018/06/16,172.32
2018/06/17,172.32
2018/06/18,172.32
2018/06/19,168.46
2018/06/20,168.83
2018/06/21,167.26
2018/06/22,168.74
2018/06/23,168.74
2018/06/24,168.74
2018/06/25,166.52
2018/06/26,166.63
2018/06/27,164.75
2018/06/28,165.41
2018/06/29,166.66
2018/06/30,166.66
2018/07/01,166.66
2018/07/02,166.66
2018/07/03,165.42
2018/07/04,164.94
2018/07/05,166.34
2018/07/06,167.17
2018/07/07,167.17
2018/07/08,167.17
2018/07/09,169.09
2018/07/10,168.98
2018/07/11,166.29
2018/07/12,167.52
2018/07/13,167.99
2018/07/14,167.99
2018/07/15,167.99
2018/07/16,167.92
2018/07/17,167.78
2018/07/18,167.62
2018/07/19,167.23
2018/07/20,168.15
2018/07/21,168.15
2018/07/22,168.15
2018/07/23,168.18
2018/07/24,169.42
2018/07/25,170.78
2018/07/26,169.9
2018/07/27,170.15
2018/07/28,170.15
2018/07/29,170.15
2018/07/30,170.06
2018/07/31,170.12
2018/08/01,169.08
