Date,富達增長基金_Price
2013/10/21,114.37
2013/10/22,114.64
2013/10/23,113.71
2013/10/24,113.7
2013/10/25,113.32
2013/10/26,113.32
2013/10/27,113.32
2013/10/28,113.59
2013/10/29,113.39
2013/10/30,114.23
2013/10/31,113.66
2013/11/01,113.47
2013/11/02,113.47
2013/11/03,113.47
2013/11/04,113.36
2013/11/05,113.08
2013/11/06,113.45
2013/11/07,112.51
2013/11/08,112.32
2013/11/09,112.32
2013/11/10,112.32
2013/11/11,112.95
2013/11/12,112.86
2013/11/13,112.12
2013/11/14,113.22
2013/11/15,114.33
2013/11/16,114.33
2013/11/17,114.33
2013/11/18,115.7
2013/11/19,115.23
2013/11/20,115.22
2013/11/21,114.94
2013/11/22,115.4
2013/11/23,115.4
2013/11/24,115.4
2013/11/25,115.66
2013/11/26,115.56
2013/11/27,115.83
2013/11/28,116.11
2013/11/29,116.29
2013/11/30,116.29
2013/12/01,116.29
2013/12/02,116.27
2013/12/03,115.9
2013/12/04,115.06
2013/12/05,114.87
2013/12/06,115.23
2013/12/07,115.23
2013/12/08,115.23
2013/12/09,115.77
2013/12/10,115.58
2013/12/11,114.56
2013/12/12,113.72
2013/12/13,113.63
2013/12/14,113.63
2013/12/15,113.63
2013/12/16,113.61
2013/12/17,113.33
2013/12/18,114.34
2013/12/19,114.24
2013/12/20,114.33
2013/12/21,114.33
2013/12/22,114.33
2013/12/23,114.96
2013/12/24,115.42
2013/12/25,115.42
2013/12/26,115.42
2013/12/27,116.33
2013/12/28,116.33
2013/12/29,116.33
2013/12/30,116.59
2013/12/31,116.96
2014/01/01,116.96
2014/01/02,116.39
2014/01/03,115.74
2014/01/04,115.74
2014/01/05,115.74
2014/01/06,115.17
2014/01/07,115.35
2014/01/08,116.17
2014/01/09,115.71
2014/01/10,116.07
2014/01/11,116.07
2014/01/12,116.07
2014/01/13,116.05
2014/01/14,115.68
2014/01/15,116.31
2014/01/16,116.31
2014/01/17,116.49
2014/01/18,116.49
2014/01/19,116.49
2014/01/20,116.1
2014/01/21,116.37
2014/01/22,116.83
2014/01/23,115.8
2014/01/24,114.04
2014/01/25,114.04
2014/01/26,114.04
2014/01/27,112.36
2014/01/28,112.72
2014/01/29,113.27
2014/01/30,112.71
2014/01/31,112.71
2014/02/01,112.71
2014/02/02,112.71
2014/02/03,112.71
2014/02/04,109.73
2014/02/05,109.82
2014/02/06,110.74
2014/02/07,112.02
2014/02/08,112.02
2014/02/09,112.02
2014/02/10,112.37
2014/02/11,113.47
2014/02/12,114.29
2014/02/13,114.01
2014/02/14,114.38
2014/02/15,114.38
2014/02/16,114.38
2014/02/17,115.01
2014/02/18,115.65
2014/02/19,115.55
2014/02/20,114.8
2014/02/21,115.45
2014/02/22,115.45
2014/02/23,115.45
2014/02/24,115.34
2014/02/25,115.24
2014/02/26,115.33
2014/02/27,116.06
2014/02/28,116.43
2014/03/01,116.43
2014/03/02,116.43
2014/03/03,114.93
2014/03/04,115.94
2014/03/05,116.03
2014/03/06,116.76
2014/03/07,116.48
2014/03/08,116.48
2014/03/09,116.48
2014/03/10,115.54
2014/03/11,115.54
2014/03/12,114.44
2014/03/13,113.79
2014/03/14,112.69
2014/03/15,112.69
2014/03/16,112.69
2014/03/17,112.95
2014/03/18,113.77
2014/03/19,113.77
2014/03/20,112.56
2014/03/21,112.93
2014/03/22,112.93
2014/03/23,112.93
2014/03/24,113.28
2014/03/25,113.09
2014/03/26,113.64
2014/03/27,113.36
2014/03/28,114.0
2014/03/29,114.0
2014/03/30,114.0
2014/03/31,114.9
2014/04/01,115.91
2014/04/02,116.19
2014/04/03,116.27
2014/04/04,115.9
2014/04/05,115.9
2014/04/06,115.9
2014/04/07,114.68
2014/04/08,114.96
2014/04/09,115.6
2014/04/10,115.59
2014/04/11,114.3
2014/04/12,114.3
2014/04/13,114.3
2014/04/14,114.19
2014/04/15,113.55
2014/04/16,114.46
2014/04/17,114.82
2014/04/18,114.82
2014/04/19,114.82
2014/04/20,114.82
2014/04/21,114.82
2014/04/22,115.34
2014/04/23,115.15
2014/04/24,115.24
2014/04/25,114.59
2014/04/26,114.59
2014/04/27,114.59
2014/04/28,114.11
2014/04/29,114.75
2014/04/30,114.38
2014/05/01,114.38
2014/05/02,115.1
2014/05/03,115.1
2014/05/04,115.1
2014/05/05,114.81
2014/05/06,114.81
2014/05/07,114.07
2014/05/08,114.06
2014/05/09,113.87
2014/05/10,113.87
2014/05/11,113.87
2014/05/12,114.77
2014/05/13,115.22
2014/05/14,115.86
2014/05/15,115.67
2014/05/16,115.29
2014/05/17,115.29
