Date,中港基金_Price
2017/07/23,158.88
2017/07/24,159.59
2017/07/25,159.27
2017/07/26,159.82
2017/07/27,160.83
2017/07/28,159.91
2017/07/29,159.91
2017/07/30,159.91
2017/07/31,161.23
2017/08/01,163.18
2017/08/02,163.53
2017/08/03,163.36
2017/08/04,163.35
2017/08/05,163.35
2017/08/06,163.35
2017/08/07,163.92
2017/08/08,164.9
2017/08/09,164.16
2017/08/10,162.26
2017/08/11,159.37
2017/08/12,159.37
2017/08/13,159.37
2017/08/14,160.84
2017/08/15,160.69
2017/08/16,162.06
2017/08/17,161.8
2017/08/18,160.15
2017/08/19,160.15
2017/08/20,160.15
2017/08/21,160.98
2017/08/22,162.64
2017/08/23,162.64
2017/08/24,163.14
2017/08/25,165.43
2017/08/26,165.43
2017/08/27,165.43
2017/08/28,166.08
2017/08/29,165.24
2017/08/30,167.1
2017/08/31,166.4
2017/09/01,166.4
2017/09/02,166.4
2017/09/03,166.4
2017/09/04,165.44
2017/09/05,165.44
2017/09/06,164.6
2017/09/07,164.25
2017/09/08,165.03
2017/09/09,165.03
2017/09/10,165.03
2017/09/11,166.67
2017/09/12,166.69
2017/09/13,166.11
2017/09/14,165.71
2017/09/15,165.54
2017/09/16,165.54
2017/09/17,165.54
2017/09/18,167.2
2017/09/19,166.86
2017/09/20,167.22
2017/09/21,167.28
2017/09/22,165.91
2017/09/23,165.91
2017/09/24,165.91
2017/09/25,164.0
2017/09/26,164.31
2017/09/27,164.89
2017/09/28,163.15
2017/09/29,163.64
2017/09/30,163.64
2017/10/01,163.64
2017/10/02,163.64
2017/10/03,167.81
2017/10/04,168.9
2017/10/05,168.9
2017/10/06,169.53
2017/10/07,169.53
2017/10/08,169.53
2017/10/09,168.89
2017/10/10,169.67
2017/10/11,168.91
2017/10/12,169.91
2017/10/13,169.96
2017/10/14,169.96
2017/10/15,169.96
2017/10/16,171.1
2017/10/17,171.25
2017/10/18,171.36
2017/10/19,168.4
2017/10/20,170.22
2017/10/21,170.22
2017/10/22,170.22
2017/10/23,169.16
2017/10/24,168.41
2017/10/25,169.12
2017/10/26,168.6
2017/10/27,170.06
2017/10/28,170.06
2017/10/29,170.06
2017/10/30,169.59
2017/10/31,169.12
2017/11/01,170.83
2017/11/02,170.27
2017/11/03,171.0
2017/11/04,171.0
2017/11/05,171.0
2017/11/06,170.77
2017/11/07,172.91
2017/11/08,172.59
2017/11/09,173.64
2017/11/10,173.9
2017/11/11,173.9
2017/11/12,173.9
2017/11/13,173.99
2017/11/14,173.76
2017/11/15,171.83
2017/11/16,172.63
2017/11/17,173.49
2017/11/18,173.49
2017/11/19,173.49
2017/11/20,173.28
2017/11/21,176.98
2017/11/22,178.66
2017/11/23,176.43
2017/11/24,177.51
2017/11/25,177.51
2017/11/26,177.51
2017/11/27,176.5
2017/11/28,176.06
2017/11/29,175.84
2017/11/30,173.57
2017/12/01,172.79
2017/12/02,172.79
2017/12/03,172.79
2017/12/04,173.15
2017/12/05,171.66
2017/12/06,167.7
2017/12/07,168.08
2017/12/08,170.1
2017/12/09,170.1
2017/12/10,170.1
2017/12/11,171.91
2017/12/12,170.88
2017/12/13,173.58
2017/12/14,172.86
2017/12/15,171.22
2017/12/16,171.22
2017/12/17,171.22
2017/12/18,172.27
2017/12/19,173.32
2017/12/20,173.44
2017/12/21,174.23
2017/12/22,175.05
2017/12/23,175.05
2017/12/24,175.05
2017/12/25,175.05
2017/12/26,175.05
2017/12/27,175.4
2017/12/28,176.84
2017/12/29,176.9
2017/12/30,176.9
2017/12/31,176.9
2018/01/01,176.9
2018/01/02,180.8
2018/01/03,181.15
2018/01/04,182.44
2018/01/05,182.56
2018/01/06,182.56
2018/01/07,182.56
2018/01/08,183.08
2018/01/09,183.93
2018/01/10,184.28
2018/01/11,184.22
2018/01/12,185.92
2018/01/13,185.92
2018/01/14,185.92
2018/01/15,186.15
2018/01/16,189.37
2018/01/17,189.94
2018/01/18,191.49
2018/01/19,192.28
2018/01/20,192.28
2018/01/21,192.28
2018/01/22,192.68
2018/01/23,196.47
2018/01/24,197.1
2018/01/25,195.23
2018/01/26,198.3
2018/01/27,198.3
2018/01/28,198.3
2018/01/29,197.08
2018/01/30,194.95
2018/01/31,196.66
2018/02/01,195.12
2018/02/02,195.1
2018/02/03,195.1
2018/02/04,195.1
2018/02/05,193.12
2018/02/06,183.43
2018/02/07,180.56
2018/02/08,181.16
2018/02/09,175.31
2018/02/10,175.31
2018/02/11,175.31
2018/02/12,175.32
2018/02/13,177.72
2018/02/14,181.35
2018/02/15,184.59
2018/02/16,184.59
2018/02/17,184.59
2018/02/18,184.59
2018/02/19,184.59
2018/02/20,183.28
2018/02/21,186.86
2018/02/22,184.32
2018/02/23,186.29
2018/02/24,186.29
2018/02/25,186.29
2018/02/26,188.07
2018/02/27,186.31
2018/02/28,183.37
2018/03/01,184.48
2018/03/02,181.8
2018/03/03,181.8
2018/03/04,181.8
2018/03/05,177.95
2018/03/06,181.71
2018/03/07,179.97
2018/03/08,182.77
2018/03/09,184.34
2018/03/10,184.34
2018/03/11,184.34
2018/03/12,187.64
2018/03/13,188.09
2018/03/14,187.4
2018/03/15,187.72
2018/03/16,187.36
2018/03/17,187.36
2018/03/18,187.36
2018/03/19,187.55
2018/03/20,187.62
2018/03/21,186.46
2018/03/22,184.73
2018/03/23,179.85
2018/03/24,179.85
2018/03/25,179.85
2018/03/26,181.68
2018/03/27,182.88
2018/03/28,178.51
